;2018;;;2019;;2020;;;Total general
97;;;;;1;;;;1
98;1;;;;1;;1;;3
99;;;;;;1;;;1
MARULANDA;;;;;;;;;
10;;;;1;;;;;1
19;;;;1;;;;;1
27;;;;1;;;;;1
28;;;;1;1;;;;2
30;;;;1;;;;;1
40;1;;;;;;;;1
44;1;;;;;;;;1
45;1;;;;;;;;1
54;1;;;;;;;;1
61;1;;;;;1;;;2
66;1;;;;;;;;1
72;;1;;;;;;;1
75;;1;;;;;;;1
78;;1;;;;;;;1
79;;;;1;;;;;1
84;;;;1;;;;;1
85;;1;;;;;;;1
87;;;;;1;;;;1
93;;1;;;;;1;;2
94;;;;;1;;;;1
NEIRA;;;;;;;;;
< 1año;;;;;;;1;;1
2;1;;;;;;;;1
8;;;;;;1;;;1
15;;;;;;2;;;2
17;;;;;;1;;;1
18;2;;;;;;;;2
19;;1;;;;;;;1
20;1;;;;;;;;1
22;;;;1;;;;;1
23;;;;;;1;;;1
24;1;;;1;;1;;;3
25;;;;1;;1;;;2
26;1;;;1;;;;;2
28;1;;;;;;;;1
30;1;;;;;1;;;2
31;1;;;;;;;;1
32;1;;;;;1;;;2
34;;;;;;1;;;1
35;;;;1;;1;;;2
36;1;;;1;;1;;;3
37;1;;;1;;1;;;3
38;;;;1;;;;;1
39;;;;;;1;;;1
40;;;;;;2;;;2
43;1;;;;;;;;1
44;;;;;;1;;;1
47;;;;;1;1;;;2
48;;1;;1;1;1;;;4
49;;;;;;1;1;;2
50;;;;;;1;1;;2
51;1;1;;;1;3;;;6
52;1;;;;;;;;1
53;;1;;;;2;;;3
54;;;;2;;;;;2
55;;;;;1;;;;1
56;1;1;;;;2;;;4
57;1;;;;;;;;1
58;1;;;2;;;;;3
59;1;;;1;;;;;2
60;;;;1;;;;;1
61;1;;;1;;1;;;3
62;;;;1;;;;;1
63;1;;;;;;;;1
64;;1;;1;;4;;;6
65;;;;1;1;;1;;3
66;1;1;;3;;2;1;;8
68;3;;;;;1;3;;7
69;1;;;1;;;;;2
70;;1;;;;2;2;;5
71;2;2;;1;;3;1;;9
72;;2;;;2;1;1;;6
73;5;1;;3;;;1;;10
74;2;1;;;1;1;1;;6
75;1;;;1;;1;;;3
76;1;;;1;1;;1;;4
77;2;;;1;;2;1;;6
78;1;;;;2;1;2;;6
79;1;;;1;2;;1;;5
80;;1;;;2;1;1;;5
81;3;2;;2;;1;;;8
82;1;1;;;3;;;;5
83;1;;;5;1;;1;;8
84;2;2;;4;1;2;1;;12
85;2;;;;1;;;;3
86;1;;;1;2;;;;4
87;2;2;;;1;2;1;;8
88;1;1;;4;;1;;;7
89;2;1;;2;;;1;;6
90;1;3;;;2;1;2;;9
91;1;1;;1;3;;1;;7
92;1;1;;;;;1;;3
93;3;1;;;;;3;;7
94;2;1;;;;;1;;4
95;;1;;;;;;;1
97;;;;;;;1;;1
98;;;;;;2;;;2
99;1;;;;;;;;1
NORCASIA;;;;;;;;;
< 1año;;;;1;;;;;1
15;1;;;;;;;;1
21;;;;;;1;;;1
23;;;;1;;;;;1
26;;;;;;1;;;1
27;1;;;;;1;;;2
32;;;;;;1;;;1
40;;;;;;1;;;1
44;;;;1;;;1;;2
51;1;;;;;1;;;2
52;;;;1;;1;;;2
55;;;;;1;;;;1
62;1;;;;;;;;1
65;;;;;;;1;;1
66;1;;;1;;;;;2
68;;;;;;;1;;1
69;;;;1;;;1;;2
70;;1;;;;1;;;2
71;;;;;1;;;;1
72;;;;;;1;;;1
73;;;;;1;1;;;2
74;;1;;;;;;;1
75;;;;1;;;;;1
76;;;;1;1;;;;2
77;;;;;;1;;;1
78;1;;;;;;;;1
79;1;;;;;;;;1
80;;;;;;;1;;1
81;;;;;;;1;;1
83;;;;1;1;;;;2
84;1;;;;1;;1;;3
85;;;;;;2;;;2
86;;;;;1;;;;1
87;;;;1;;;;;1
90;1;1;;1;;;;;3
91;1;;;;;;;;1
92;1;;;;1;;1;;3
93;;;;;1;;1;;2
96;;1;;;;;;;1
98;;;;;1;;;;1
99;1;;;;;;;;1
PACORA;;;;;;;;;
16;1;;;;;;;;1
20;;1;;;;;;;1
25;;;;;1;;;;1
38;;;;1;;;;;1
40;;;;;1;;;;1
41;1;;;;;;;;1
44;;;;1;;;;;1
45;;;;1;;;;;1
47;;;;;1;;;;1
49;;;;1;;;;;1
54;1;;;;1;;1;;3
55;;;;;;1;;;1
56;1;;;;;;;;1
57;1;1;;2;;;;;4
58;;1;;;;;;;1
59;1;1;;1;;;;;3
60;1;1;;;;;;;2
61;1;;;1;;;1;;3
62;1;1;;2;1;;;;5
63;1;;;;;1;;;2
64;1;;;;;1;;;2
65;1;1;;2;;1;;;5
66;;1;;;;1;;;2
67;;;;;;;1;;1
68;1;;;2;;;1;;4
69;1;;;1;1;1;1;;5
70;;;;1;;;;;1
71;;;;;;1;;;1
72;;2;;;;;2;;4
73;;2;;1;;;;;3
74;3;;;;;;;;3
75;;1;;1;2;1;;;5
76;1;;;;2;;1;;4
77;3;;;1;2;;;;6
78;;2;;1;;;;;3
79;1;1;;1;;1;;;4
80;4;;;1;1;3;1;;10
81;1;1;;3;1;1;1;;8
82;;1;;1;;;;;2
83;3;1;;2;;2;;;8
84;2;;;1;1;1;2;;7
85;1;;;1;4;1;1;;8
86;3;;;1;;2;1;;7
87;2;;;;1;1;;;4
88;1;;;2;;2;1;;6
89;;;;1;;3;2;;6
90;1;;;;3;2;1;;7
91;1;1;;1;;2;1;;6
92;1;;;1;;;;;2
93;;;;1;1;2;3;;7
94;;2;;;1;;1;;4
95;;1;;1;1;1;;;4
97;;1;;;;;;;1
98;;;;;;;1;;1
99;;;;;;;1;;1
PALESTINA;;;;;;;;;
< 1año;;;;1;;;;;1
1;;;;;;;1;;1
15;2;;;;;;;;2
16;;1;;;;;;;1
19;;;;1;;;;;1
22;;;;;;1;;;1
23;;;;;;1;;;1
24;;;;;;1;;;1
25;;;;3;;1;;;4
26;;;;;;2;;;2
28;;;;;;1;;;1
29;1;;;;;;;;1
32;;1;;;;;;;1
33;;1;;;;;;;1
34;;;;1;1;;;;2
35;1;;;;;;;;1
40;;1;;;;;;;1
41;;;;1;;;;;1
42;;;;;;1;;;1
45;;;;1;;;;;1
46;;;;2;;;;;2
49;;;;;1;;;;1
50;1;;;;;1;;;2
55;;;;1;;;;;1
56;;1;;;;;;;1
57;1;;;;;;;;1
58;;1;;;;;;;1
59;;;;;2;;;;2
60;1;;;;;;;;1
61;1;;;;1;;;;2
62;1;;;1;;;;;2
63;;;;1;;;;;1
64;;;;1;;1;;;2
66;3;1;;;;;;;4
67;;2;;;;1;;;3
68;;1;;;;1;;;2
69;;;;1;1;1;1;;4
70;;;;1;1;;;;2
71;;;;1;;;;;1
72;1;;;;;;1;;2
73;1;;;;;;;;1
74;;;;;;1;;;1
75;2;;;;;1;;;3
76;;;;;;1;;;1
78;1;;;1;2;;;;4
79;1;;;;;;;;1
80;;;;1;;2;;;3
81;;;;3;;2;1;;6
82;1;;;;;;1;;2
83;;;;;;1;;;1
84;;;;1;;;;;1
88;1;;;;;;;;1
89;;;;;;;1;;1
90;;;;1;;;;;1
91;;;;1;;;;;1
92;1;;;;;;1;;2
93;;;;;;1;1;;2
95;;;;;;1;;;1
96;;;;;1;;;;1
98;;;;;;1;;;1
PENSILVANIA;;;;;;;;;
< 1año;;1;;;;;;;1
3;;;;;1;;;;1
4;;1;;;;;;;1
7;1;;;;;;;;1
21;;;;;;2;;;2
22;;;;;;1;;;1
30;;;;;;1;;;1
34;;1;;;;;;;1
43;;;;;;1;;;1
44;2;;;2;;;;;4
50;1;;;2;;;;;3
51;;;;;;;1;;1
52;1;;;1;;;;;2
55;;1;;;;;;;1
56;;;;;;1;1;;2
57;1;;;1;1;;1;;4
58;;1;;;1;1;;;3
59;1;1;;2;2;1;1;;8
61;;1;;;1;1;;;3
62;1;1;;2;;2;;;6
64;1;1;;;;;;;2
65;;;;2;;;1;;3
66;;;;1;;2;;;3
67;1;;;2;;;2;;5
68;1;1;;;;;;;2
69;1;;;1;1;;;;3
70;1;2;;1;1;;;;5
71;1;;;;;;;;1
72;2;;;;;2;;;4
73;;;;1;;;2;;3
74;;1;;;1;;2;;4
75;;;;1;;2;1;;4
76;;;;3;;2;;;5
77;;;;;1;;1;;2
78;1;1;;4;;1;2;;9
79;;1;;3;;4;2;;10
80;;1;;2;;1;1;;5
81;1;;;;;;2;;3
82;2;;;1;1;;3;;7
83;;;;1;;1;4;;6
84;2;1;;;7;1;2;;13
85;2;1;;1;3;;2;;9
86;2;1;;;;;5;;8
87;1;3;;1;1;2;1;;9
88;1;;;2;3;;1;;7
89;1;;;2;1;1;1;;6
90;2;1;;2;2;1;2;;10
91;1;;;1;3;4;1;;10
92;;;;2;1;;1;;4
93;;1;;1;2;1;2;;7
94;;1;;;1;1;1;;4
95;;1;;;;1;2;;4
96;1;;;;1;;;;2
97;;;;;1;;1;;2
98;;;;1;;;2;;3
99;;1;;1;;2;;;4
RIOSUCIO;;;;;;;;;
< 1año;;;;2;3;2;;;7
0;;;;;2;1;;;3
1;1;1;;2;1;2;;;7
2;;;;2;;;1;;3
5;;1;;;;;1;;2
7;;;;1;1;;;;2
10;;;;1;;;;;1
13;;;;1;;;;;1
14;1;;;1;;1;1;;4
17;1;;;1;;;;;2
20;1;;;;1;2;;;4
22;;1;;;;;;;1
23;;;;;;1;;;1
25;1;;;1;;1;;;3
26;;1;;;;1;;;2
27;;;;2;;2;;;4
28;;;;;;2;;;2
29;;1;;;;1;;;2
30;1;1;;1;;2;;;5
32;;;;;;1;;;1
33;2;;;;;2;;;4
35;;;;2;;;;;2
36;1;;;;;2;;;3
37;2;;;1;;1;;;4
38;;;;1;;;2;;3
39;;;;;1;1;;;2
40;;;;;;1;;;1
41;1;;;1;;;;;2
42;2;;;1;;;;;3
43;;;;1;;;;;1
45;;;;;2;;;;2
47;1;;;;;;;;1
48;1;2;;;;1;;;4
50;;;;1;1;;;;2
51;;;;;;1;1;;2
52;1;;;1;2;;2;;6
53;1;1;;2;;1;1;;6
54;1;1;;;1;2;2;;7
55;;;;1;;;2;;3
56;2;;;1;1;3;;;7
57;;;;1;;1;1;;3
58;2;2;;1;1;;1;;7
59;2;;;2;1;1;1;;7
60;;1;;1;;1;;;3
61;1;2;;2;1;1;1;;8
62;3;1;;2;;;1;;7
63;2;;;;2;7;1;;12
64;4;2;;2;;1;1;;10
65;4;1;;1;;;2;;8
66;1;1;;2;;1;3;;8
67;1;;;2;2;4;3;;12
68;2;1;;1;1;1;1;;7
69;2;2;;3;1;6;1;;15
70;2;;;2;3;3;3;;13
71;2;2;;;2;3;3;;12
72;2;5;;2;2;2;3;;16
73;5;2;;3;3;1;2;;16
74;1;;;3;1;4;;;9
75;4;3;;3;1;3;2;;16
76;2;3;;3;1;4;4;;17
77;3;1;;3;2;6;1;;16
78;2;2;;2;3;2;1;;12
79;5;2;;5;2;4;3;;21
80;2;3;;6;8;5;4;;28
81;6;1;;4;3;5;6;;25
82;;5;;2;7;3;4;;21
83;5;4;;3;1;3;5;;21
84;5;3;;6;6;10;7;;37
85;5;5;;2;3;5;3;;23
86;4;5;;4;7;6;6;;32
87;1;3;;3;4;4;3;;18
88;3;6;;1;3;3;3;;19
89;5;8;;3;1;6;7;;30
90;4;3;;4;4;2;3;;20
91;3;4;;3;2;2;1;;15
92;2;;;2;2;2;5;;13
93;4;5;;2;9;2;4;;26
94;3;2;;4;2;;3;;14
95;;1;;2;2;;;;5
96;2;2;;1;2;1;1;;9
97;;2;;;;;;;2
98;1;2;;1;2;;2;;8
99;;1;;;1;1;1;;4
RISARALDA;;;;;;;;;
< 1año;;;;1;;1;;;2
1;;;;;;;1;;1
5;;;;1;;;;;1
9;;;;;;1;;;1
20;1;;;;;;;;1
21;;;;;1;;;;1
23;;;;;;1;;;1
35;;;;1;;;;;1
36;;;;1;;;;;1
38;;;;1;;;;;1
40;;;;;;1;;;1
41;;;;;1;;;;1
46;;;;1;;;;;1
47;;;;;;1;;;1
48;;;;;;1;;;1
49;2;;;;;;;;2
51;;;;;;1;;;1
54;;;;;;;1;;1
55;;;;1;;;1;;2
58;;1;;1;;;;;2
59;;;;;;1;;;1
60;;;;1;;1;;;2
62;;;;;;2;;;2
63;1;;;;;;;;1
66;;1;;;;;;;1
67;1;;;2;;1;;;4
68;;;;;2;3;;;5
69;1;;;;;;;;1
70;;1;;1;1;1;;;4
71;;1;;;;;;;1
72;;;;1;;1;;;2
73;1;;;;;;;;1
74;;;;;;1;;;1
75;;;;1;;1;1;;3
76;;1;;;2;;;;3
77;1;2;;;1;2;2;;8
78;1;;;1;;2;;;4
79;;;;;1;1;;;2
80;2;;;;;;;;2
81;;;;3;;;1;;4
82;1;1;;1;1;1;;;5
83;1;1;;;;;;;2
84;1;1;;;;;2;;4
85;2;;;2;;1;1;;6
86;;;;1;1;;;;2
87;;;;1;;;1;;2
88;;1;;;1;;;;2
89;;;;;;1;1;;2
90;1;;;;;1;1;;3
91;;;;3;1;;1;;5
92;;1;;;1;;;;2
93;;;;;;;1;;1
95;;;;;;;1;;1
96;;1;;;;;;;1
97;1;;;;;;;;1
99;;;;;;;1;;1
SALAMINA;;;;;;;;;
< 1año;1;;;1;1;1;;;4
2;;;;;;;1;;1
3;1;;;;;;;;1
15;;1;;;;;;;1
20;;;;2;;;1;;3
21;1;;;;;;;;1
23;;;;;;1;;;1
25;;;;;1;;;;1
31;;;;;;1;;;1
33;1;;;;;1;;;2
34;;;;1;2;;1;;4
35;;;;;;1;;;1
36;1;1;;;;;;;2
37;;;;1;;;;;1
38;1;;;;;;;;1
46;1;1;;;;;;;2
48;;1;;;;;;;1
49;1;;;;;;;;1
52;1;1;;;;;;;2
54;1;;;;;;;;1
55;;;;1;;;;;1
56;1;2;;1;;3;1;;8
57;1;;;;;;;;1
58;;;;2;;3;;;5
59;;;;;;1;1;;2
60;1;1;;1;2;;;;5
61;4;;;;;;1;;5
62;1;1;;2;1;2;;;7
63;1;2;;;1;;;;4
64;1;2;;;2;1;1;;7
65;1;1;;3;;1;;;6
66;4;;;1;2;;;;7
67;1;1;;2;1;2;;;7
68;;;;1;2;;1;;4
69;;1;;1;;;;;2
70;1;;;1;2;2;2;;8
71;1;;;1;3;;1;;6
72;;;;1;1;1;;;3
73;4;1;;1;;;;;6
74;3;1;;3;;3;;;10
75;;;;3;1;1;1;;6
76;2;2;;1;;4;;;9
77;3;;;4;1;2;3;;13
78;1;2;;2;1;1;3;;10
79;;;;2;3;2;;;7
80;2;;;1;2;;;;5
81;;;;2;3;;3;;8
82;2;1;;;2;1;2;;8
83;1;1;;3;4;1;2;;12
84;1;2;;2;2;;1;;8
85;1;2;;1;4;1;1;;10
86;4;2;;2;1;;1;;10
87;1;2;;4;1;2;2;;12
88;3;2;;1;2;5;;;13
89;1;3;;3;;3;1;;11
90;;2;;1;2;2;;;7
91;;2;;3;2;2;2;;11
92;;1;;2;;;1;;4
93;2;2;;1;2;;1;;8
94;;1;;;1;;;;2
95;;1;;1;1;4;;;7
96;;3;;;2;;;;5
97;1;1;;;;1;;;3
99;;;;1;;;;;1
SAMANA;;;;;;;;;
7;1;;;;;;;;1
11;;;;;;1;1;;2
16;;;;;;1;;;1
17;;;;;;1;;;1
18;;;;1;;1;;;2
20;1;;;;;;;;1
22;;;;1;;;;;1
23;;;;;;1;;;1
24;1;;;;;;;;1
27;1;;;;1;;;;2
28;1;;;;;;1;;2
29;1;1;;;;;;;2
30;;;;;;1;;;1
33;;;;;;1;;;1
35;1;;;;;2;;;3
36;;;;1;;1;;;2
37;1;;;;;1;;;2
38;;;;;1;;;;1
41;1;;;;;;;;1
42;;;;;;1;;;1
43;;;;2;;;;;2
45;1;;;;;;;;1
47;1;;;1;;;;;2
49;;;;1;;;;;1
50;;1;;1;1;;;;3
51;;2;;1;;1;;;4
52;1;;;1;;;;;2
53;;;;1;;;;;1
54;;;;1;;2;;;3
55;;;;;1;;1;;2
56;1;;;;;;1;;2
57;2;;;;;1;;;3
58;1;;;;;;;;1
59;;1;;;1;;;;2
60;;1;;;;2;;;3
61;1;;;2;1;1;1;;6
62;2;1;;;;1;2;;6
63;;;;2;;1;;;3
64;;;;;;1;;;1
65;;;;2;;;;;2
66;;;;1;;;;;1
67;;1;;1;1;;;;3
68;1;;;;;;1;;2
69;1;;;1;;;;;2
70;1;2;;1;1;1;1;;7
71;;;;1;;;;;1
72;;;;;1;2;;;3
73;;;;1;2;1;;;4
74;;1;;1;;;1;;3
75;2;2;;2;;1;;;7
76;1;1;;;;1;;;3
77;1;;;;;2;1;;4
78;1;1;;1;;1;1;;5
79;1;1;;1;1;2;1;;7
80;2;1;;;;2;4;10;19
81;3;;;1;1;2;3;;10
82;1;;;1;;3;;;5
83;1;3;;2;1;1;1;;9
84;3;;;3;;1;;;7
85;1;3;;;3;;;;7
86;3;2;;1;2;;1;;9
87;;2;;;1;1;;;4
88;;1;;2;1;2;;;6
89;2;;;2;1;1;1;;7
90;2;1;;1;1;;2;;7
91;1;;;;;1;3;;5
92;;;;1;;2;1;;4
93;1;;;1;;;;;2
94;1;;;1;;1;3;;6
95;1;;;1;;;;;2
96;1;;;;;;1;;2
97;;;;;;;2;;2
98;;;;1;;;;;1
99;1;;;;;;1;;2
SAN JOSE;;;;;;;;;
16;;;;;;;1;;1
19;;;;;;1;;;1
30;;;;1;2;;;;3
37;;;;;;;1;;1
46;1;;;;;;;;1
50;;;;1;;;;;1
51;;;;1;;;;;1
53;1;;;;;;;;1
55;;;;;;1;;;1
56;;;;2;;;;;2
59;;;;;;1;1;;2
60;;;;;;1;;;1
62;;;;;1;1;;;2
64;;;;;;;1;;1
65;;;;1;;1;;;2
66;;;;;;;1;;1
67;;;;1;;;;;1
69;1;;;;;;;;1
72;;;;;1;1;;;2
73;;1;;;;;;;1
76;;;;1;;;1;;2
78;;;;;;1;;;1
79;;1;;1;;;;;2
80;;;;;1;1;;;2
81;1;;;1;;1;;;3
82;1;1;;;;;;;2
83;;;;;;1;;;1
84;1;1;;;1;1;;;4
85;;;;;;;1;;1
86;1;;;;1;;;;2
87;;;;1;;;;;1
88;;1;;;;;;;1
89;1;1;;1;;;;;3
90;1;;;;;;;;1
91;;1;;1;;;;;2
92;;;;1;;1;;;2
94;;;;;;3;;;3
SUPIA;;;;;;;;;
1;;;;;;1;;;1
8;;;;;1;;;;1
14;;;;;;;1;;1
16;;1;;;;2;;;3
17;;;;1;;;;;1
18;;;;1;;;;;1
19;;;;2;;1;;;3
20;3;;;1;;1;;;5
21;1;;;2;;1;;;4
22;1;;;1;;2;;;4
23;;;;;;1;;;1
24;;;;;;1;;;1
25;;;;;;1;;;1
26;1;;;;;;;;1
27;1;;;;;;;;1
28;1;;;;;1;;;2
29;;;;1;;;;;1
32;1;;;;;;;;1
33;;;;1;;1;;;2
34;1;;;;;1;;;2
36;;1;;;;;;;1
37;2;;;1;1;;;;4
38;1;;;;;1;;;2
40;;;;1;1;;;;2
41;;;;1;;;;;1
42;;;;;;;1;;1
43;;1;;;;3;;;4
44;1;;;1;;;;;2
45;2;1;;;1;;;;4
47;;;;1;;1;1;;3
48;1;1;;1;1;;;;4
49;;;;;;2;;;2
50;1;;;1;;;;;2
51;;;;;;1;;;1
52;;1;;1;;;;;2
53;;1;;;;;;;1
54;;;;;;2;;;2
55;1;1;;1;1;1;;;5
56;;1;;;;1;1;;3
57;;;;;;1;;;1
58;;1;;;;;;;1
59;1;;;;;1;;;2
60;1;2;;1;;;;;4
61;1;;;1;;1;;;3
62;2;;;;;1;1;;4
63;;;;1;1;;1;;3
64;;;;1;1;;;;2
65;;1;;1;;2;1;;5
66;1;1;;1;;2;1;;6
67;;;;;;;1;;1
68;1;;;2;;;1;;4
69;2;1;;3;;1;;;7
70;1;;;1;3;1;1;;7
71;3;;;;1;;1;;5
72;2;4;;1;1;;;;8
73;1;1;;1;;3;;;6
74;;;;;1;;;;1
75;1;1;;2;1;;2;;7
76;1;2;;1;1;2;1;;8
77;;2;;2;1;1;3;;9
78;;;;1;;4;;;5
79;3;3;;1;2;1;1;;11
80;3;;;3;1;1;2;;10
81;5;1;;2;2;3;;;13
82;2;;;2;1;2;1;;8
83;1;2;;;1;1;1;;6
84;1;;;;1;2;;;4
85;2;1;;1;2;;1;;7
86;1;1;;;1;2;3;;8
87;3;1;;;;;1;;5
88;2;;;2;;1;1;;6
89;1;2;;1;1;1;3;;9
90;1;2;;;1;2;;;6
91;;3;;1;1;2;2;;9
92;;2;;2;2;3;1;;10
93;1;;;1;;1;;;3
94;;;;;;1;2;;3
95;;1;;;;1;1;;3
96;;2;;;;2;3;;7
97;;;;;1;;1;;2
98;1;;;;1;1;;;3
VICTORIA;;;;;;;;;
2;1;;;;;;;;1
20;;;;;;1;;;1
23;;;;1;;;;;1
26;;;;;;1;;;1
27;;;;1;;1;;;2
31;1;;;;;;;;1
36;;;;;;;1;;1
42;;;;1;;;;;1
43;;;;;1;;;;1
45;1;;;;;;;;1
48;1;;;;;;;;1
49;1;;;;;;;;1
52;;;;;;1;;;1
53;;;;1;;;;;1
55;;2;;;;;;;2
56;;;;1;;1;;;2
57;;;;1;;;;;1
58;;1;;;;;;;1
59;;1;;;;3;;;4
61;1;;;;;;;;1
62;1;;;;;;;;1
63;;;;1;1;;;;2
64;1;;;1;;;;;2
66;1;;;;;;;;1
69;;;;1;;;;;1
70;1;;;;1;;;;2
71;;;;;;2;;;2
73;;;;1;;1;;;2
74;;;;;;1;;;1
75;1;;;;;;;;1
76;;;;1;;;;;1
77;;;;1;;;;;1
78;;1;;;;1;;;2
79;1;;;;;;1;;2
80;1;;;;1;;1;;3
81;1;;;1;;1;;;3
82;1;1;;1;;;;;3
83;;;;;1;;1;;2
84;;;;;;;1;;1
85;1;;;;1;;;;2
86;;1;;;1;;1;;3
87;;1;;;;;;;1
88;;;;2;1;1;;;4
89;;;;;;;2;;2
90;1;;;2;1;1;;;5
91;;1;;;1;1;1;;4
92;1;;;;;;;;1
93;;;;1;;;;;1
94;;;;1;;;;;1
96;;;;;;1;;;1
VILLAMARIA;;;;;;;;;
< 1año;1;;;;;;;;1
0;;;;1;;1;;;2
1;;;;;1;;;;1
2;;1;;;;;;;1
5;;;;1;2;;;;3
10;;;;;;;1;;1
17;;;;1;;;;;1
18;1;;;;;1;;;2
19;;;;;;;1;;1
21;2;;;;;;;;2
23;1;;;1;;;;;2
24;;;;;;;1;;1
28;1;;;2;;;;;3
29;;1;;;;;;;1
30;1;;;;;;;;1
31;;;;2;;;;;2
32;;1;;;;;;;1
36;1;;;;;;;;1
37;1;;;;;;;;1
38;;1;;;;;;;1
40;;;;;;2;;;2
42;;;;;;1;;;1
43;;;;;1;2;;;3
45;;1;;;;1;;;2
47;1;;;;;;;;1
48;;;;;1;;;;1
49;1;;;;;1;;;2
50;1;;;;;2;;;3
51;2;1;;;2;;1;;6
52;;2;;;;;2;;4
53;;;;;1;1;1;;3
54;1;1;;;;;1;;3
55;1;;;;;1;;;2
56;;;;2;;;;;2
57;;;;1;;2;1;;4
58;;1;;1;1;;;;3
59;;1;;;;;;;1
60;;;;1;;;3;;4
61;3;1;;1;;;1;;6
62;2;1;;4;;1;3;;11
63;2;;;1;;1;1;;5
64;4;;;;1;;;;5
65;2;;;;1;;;;3
66;1;;;;1;1;;;3
67;6;;;1;1;2;1;;11
68;;;;1;;2;;;3
69;1;;;1;;4;2;;8
70;3;;1;1;2;6;1;;14
71;3;2;;2;2;3;1;;13
72;1;1;;1;1;2;2;;8
73;;1;;;1;3;2;;7
74;1;2;;1;;5;1;;10
75;1;;;2;;2;1;;6
76;3;2;;;;2;1;;8
77;;;;;;1;1;;2
78;3;2;;;1;3;3;;12
79;3;;;;2;1;;;6
80;1;1;;2;4;2;2;;12
81;1;3;;3;3;3;4;;17
82;1;2;;1;1;2;;;7
83;3;1;;3;3;4;;;14
84;1;1;;;3;5;2;;12
85;;1;;2;2;1;1;;7
86;;1;;1;;1;2;;5
87;2;;;1;1;6;2;;12
88;2;2;;3;2;;3;;12
89;;2;;1;3;2;4;;12
90;1;1;;1;1;1;2;;7
91;2;;;3;;1;2;;8
92;;3;;2;;1;1;;7
93;1;;;1;1;3;3;;9
94;1;1;;;3;1;1;;7
95;;;;1;3;1;2;;7
96;;2;;;;;;;2
97;1;;;3;2;2;;;8
98;;1;;;;1;2;;4
99;;1;;;;1;1;;3
VITERBO;;;;;;;;;
2;;1;;;;;;;1
3;;1;;;;;;;1
10;;1;;;;;;;1
12;;;;;;1;;;1
16;;;;1;;;;;1
21;;;;1;;;;;1
26;;;;1;;;;;1
27;1;;;;;;;;1
28;;1;;;;;;;1
30;;;;;;;1;;1
31;;1;;2;;;;;3
35;1;;;;;;;;1
36;;1;;;;;;;1
38;;;;;;;1;;1
43;;1;;;;;;;1
44;;;;;1;;;;1
50;;;;1;;1;;;2
52;;2;;;;;;;2
53;1;;;;;;;;1
57;1;;;;;;;;1
61;1;;;1;;;;;2
62;;;;;;1;;;1
63;;;;1;;;;;1
64;1;2;;;1;;1;;5
65;;;;1;;;;;1
66;;;;2;;1;2;;5
67;;1;;;;1;;;2
68;;;;;2;1;1;;4
69;;;;2;;1;;;3
70;1;;;1;;;;;2
71;1;;;;;1;1;;3
72;;;;;1;1;1;;3
73;3;;;;;;;;3
74;;1;;1;;2;;;4
75;1;;;;;;;;1
76;;;;2;1;;;;3
77;2;2;;;2;;1;;7
78;2;;;1;1;;2;;6
79;1;;;3;1;;2;;7
80;1;;;1;;1;1;;4
81;1;;;1;;1;3;;6
82;1;2;;;1;1;2;;7
83;2;1;;1;;;2;;6
84;;2;;;1;1;1;;5
85;1;1;;;1;1;1;;5
86;1;1;;;2;1;2;;7
87;;;;;;2;;;2
88;;;;1;;2;;;3
89;;;;3;2;;;;5
90;1;2;;4;;1;;;8
91;;2;;2;;;;;4
92;;;;;1;;;;1
93;1;;;;;1;1;;3
94;;;;;1;;;;1
95;;;;1;3;;;;4
96;1;2;;;;1;;;4
97;1;;;;2;;;;3
99;;;;;;1;;;1
Total general;3216;2608;2;3185;2734;3844;2899;13;18501
